file: votematrix-lords.csv covering lords
file created: Sat Feb  9 11:29:46 2013by http://www.publicwhip.org.uk/
1054 mps
1708 divisions



Data Values
      missing: -9
      tellaye: 1
      aye: 2
      both: 3
      no: 4
      tellno: 5



Variables match to MP names as mpidXXX where XXX is the mpid number below

mpid	firstname	surname	party	PublicWhip URL
100098	Byford		Con	http://publicwhip.com/mp.php?mpid=100098
100104	Campbell-Savours		Lab	http://publicwhip.com/mp.php?mpid=100104
100111	Carrington		Con	http://publicwhip.com/mp.php?mpid=100111
100814	Carswell		XB	http://publicwhip.com/mp.php?mpid=100814
100112	Carter		Lab	http://publicwhip.com/mp.php?mpid=100112
100714	Carver		XB	http://publicwhip.com/mp.php?mpid=100714
100948	Cathcart		Con	http://publicwhip.com/mp.php?mpid=100948
100114	Chadlington		Con	http://publicwhip.com/mp.php?mpid=100114
100115	Chalfont		XB	http://publicwhip.com/mp.php?mpid=100115
100117	Chan		XB	http://publicwhip.com/mp.php?mpid=100117
100118	Chandos		Lab	http://publicwhip.com/mp.php?mpid=100118
100820	Chapman		XB	http://publicwhip.com/mp.php?mpid=100820
100850	Chidgey		LDem	http://publicwhip.com/mp.php?mpid=100850
100122	Chilver		Con	http://publicwhip.com/mp.php?mpid=100122
100125	Chorley		XB	http://publicwhip.com/mp.php?mpid=100125
100126	Christopher		Lab	http://publicwhip.com/mp.php?mpid=100126
101038	Clancarty		XB	http://publicwhip.com/mp.php?mpid=101038
100130	Clement-Jones		LDem	http://publicwhip.com/mp.php?mpid=100130
100131	Clinton-Davis		Lab	http://publicwhip.com/mp.php?mpid=100131
100132	Clyde		XB	http://publicwhip.com/mp.php?mpid=100132
100133	Cobbold		XB	http://publicwhip.com/mp.php?mpid=100133
100134	Cockfield		Con	http://publicwhip.com/mp.php?mpid=100134
100135	Coe		Con	http://publicwhip.com/mp.php?mpid=100135
100138	Colwyn		Con	http://publicwhip.com/mp.php?mpid=100138
100139	Condon		XB	http://publicwhip.com/mp.php?mpid=100139
101080	Cormack		Con	http://publicwhip.com/mp.php?mpid=101080
100870	Corston		Lab	http://publicwhip.com/mp.php?mpid=100870
100907	Cotter		LDem	http://publicwhip.com/mp.php?mpid=100907
100949	Coussins		XB	http://publicwhip.com/mp.php?mpid=100949
100147	Cox		Con	http://publicwhip.com/mp.php?mpid=100147
100959	Cox		XB	http://publicwhip.com/mp.php?mpid=100959
100149	Craigavon		XB	http://publicwhip.com/mp.php?mpid=100149
100716	Cranborne		Other	http://publicwhip.com/mp.php?mpid=100716
100150	Crathorne		Con	http://publicwhip.com/mp.php?mpid=100150
100152	Crawley		Lab	http://publicwhip.com/mp.php?mpid=100152
100153	Crickhowell		Con	http://publicwhip.com/mp.php?mpid=100153
100919	Crisp		XB	http://publicwhip.com/mp.php?mpid=100919
100154	Croham		XB	http://publicwhip.com/mp.php?mpid=100154
100155	Cuckney		Con	http://publicwhip.com/mp.php?mpid=100155
100157	Cumberlege		Con	http://publicwhip.com/mp.php?mpid=100157
100827	D&#39;Souza		XB	http://publicwhip.com/mp.php?mpid=100827
100160	Dahrendorf		LDem	http://publicwhip.com/mp.php?mpid=100160
100931	Dahrendorf		XB	http://publicwhip.com/mp.php?mpid=100931
101107	Dannatt		XB	http://publicwhip.com/mp.php?mpid=101107
100161	Darcy de Knayth		XB	http://publicwhip.com/mp.php?mpid=100161
100162	David		Lab	http://publicwhip.com/mp.php?mpid=100162
100836	de Mauley		Con	http://publicwhip.com/mp.php?mpid=100836
100939	Dear		XB	http://publicwhip.com/mp.php?mpid=100939
100167	Dearing		Other	http://publicwhip.com/mp.php?mpid=100167
101015	Deben		Con	http://publicwhip.com/mp.php?mpid=101015
100877	Deech		XB	http://publicwhip.com/mp.php?mpid=100877
100168	Deedes		Con	http://publicwhip.com/mp.php?mpid=100168
101145	Deighton		Con	http://publicwhip.com/mp.php?mpid=101145
100170	Denham		Con	http://publicwhip.com/mp.php?mpid=100170
