file: votematrix-1997.csv covering commons parliament 1997
file created: Sat Feb  9 11:30:02 2013by http://www.publicwhip.org.uk/
678 mps
1273 divisions



Data Values
      missing: -9
      tellaye: 1
      aye: 2
      both: 3
      no: 4
      tellno: 5



Variables match to MP names as mpidXXX where XXX is the mpid number below

mpid	firstname	surname	party	PublicWhip URL
465	Lembit	&Ouml;pik	LDem	http://publicwhip.com/mp.php?mpid=465
1	Diane	Abbott	Lab	http://publicwhip.com/mp.php?mpid=1
3	Irene	Adams	Lab	http://publicwhip.com/mp.php?mpid=3
4	Nick	Ainger	Lab	http://publicwhip.com/mp.php?mpid=4
5	Bob	Ainsworth	Lab	http://publicwhip.com/mp.php?mpid=5
6	Peter	Ainsworth	Con	http://publicwhip.com/mp.php?mpid=6
661	Douglas	Alexander	Lab	http://publicwhip.com/mp.php?mpid=661
7	Richard	Allan	LDem	http://publicwhip.com/mp.php?mpid=7
8	Graham	Allen	Lab	http://publicwhip.com/mp.php?mpid=8
9	David	Amess	Con	http://publicwhip.com/mp.php?mpid=9
10	Michael	Ancram	Con	http://publicwhip.com/mp.php?mpid=10
11	Donald	Anderson	Lab	http://publicwhip.com/mp.php?mpid=11
12	Janet	Anderson	Lab	http://publicwhip.com/mp.php?mpid=12
13	James	Arbuthnot	Con	http://publicwhip.com/mp.php?mpid=13
14	Hilary	Armstrong	Lab	http://publicwhip.com/mp.php?mpid=14
15	Paddy	Ashdown	LDem	http://publicwhip.com/mp.php?mpid=15
16	Joe	Ashton	Lab	http://publicwhip.com/mp.php?mpid=16
17	Candy	Atherton	Lab	http://publicwhip.com/mp.php?mpid=17
18	Charlotte	Atkins	Lab	http://publicwhip.com/mp.php?mpid=18
19	David	Atkinson	Con	http://publicwhip.com/mp.php?mpid=19
20	Peter	Atkinson	Con	http://publicwhip.com/mp.php?mpid=20
21	John	Austin	Lab	http://publicwhip.com/mp.php?mpid=21
683	Adrian	Bailey	Lab	http://publicwhip.com/mp.php?mpid=683
22	Norman	Baker	LDem	http://publicwhip.com/mp.php?mpid=22
23	Tony	Baldry	Con	http://publicwhip.com/mp.php?mpid=23
24	Jackie	Ballard	LDem	http://publicwhip.com/mp.php?mpid=24
25	Tony	Banks	Lab	http://publicwhip.com/mp.php?mpid=25
26	Harry	Barnes	Lab	http://publicwhip.com/mp.php?mpid=26
27	Kevin	Barron	Lab	http://publicwhip.com/mp.php?mpid=27
28	John	Battle	Lab	http://publicwhip.com/mp.php?mpid=28
29	Hugh	Bayley	Lab	http://publicwhip.com/mp.php?mpid=29
30	Nigel	Beard	Lab	http://publicwhip.com/mp.php?mpid=30
31	Margaret	Beckett	Lab	http://publicwhip.com/mp.php?mpid=31
32	Anne	Begg	Lab	http://publicwhip.com/mp.php?mpid=32
33	Roy	Beggs	UUP	http://publicwhip.com/mp.php?mpid=33
34	Alan	Beith	LDem	http://publicwhip.com/mp.php?mpid=34
35	Martin	Bell	Ind	http://publicwhip.com/mp.php?mpid=35
36	Stuart	Bell	Lab	http://publicwhip.com/mp.php?mpid=36
669	Hilary	Benn	Lab	http://publicwhip.com/mp.php?mpid=669
37	Tony	Benn	Lab	http://publicwhip.com/mp.php?mpid=37
38	Andrew	Bennett	Lab	http://publicwhip.com/mp.php?mpid=38
39	Joe	Benton	Lab	http://publicwhip.com/mp.php?mpid=39
40	John	Bercow	Con	http://publicwhip.com/mp.php?mpid=40
41	Paul	Beresford	Con	http://publicwhip.com/mp.php?mpid=41
42	Gerry	Bermingham	Lab	http://publicwhip.com/mp.php?mpid=42
43	Roger	Berry	Lab	http://publicwhip.com/mp.php?mpid=43
44	Harold	Best	Lab	http://publicwhip.com/mp.php?mpid=44
45	Clive	Betts	Lab	http://publicwhip.com/mp.php?mpid=45
