file: votematrix-2001.csv covering commons parliament 2001
file created: Sat Feb  9 11:29:58 2013by http://www.publicwhip.org.uk/
672 mps
1246 divisions



Data Values
      missing: -9
      tellaye: 1
      aye: 2
      both: 3
      no: 4
      tellno: 5



Variables match to MP names as mpidXXX where XXX is the mpid number below

mpid	firstname	surname	party	PublicWhip URL
1143	Lembit	&Ouml;pik	LDem	http://publicwhip.com/mp.php?mpid=1143
687	Diane	Abbott	Lab	http://publicwhip.com/mp.php?mpid=687
689	Irene	Adams	Lab	http://publicwhip.com/mp.php?mpid=689
690	Nick	Ainger	Lab	http://publicwhip.com/mp.php?mpid=690
691	Bob	Ainsworth	Lab	http://publicwhip.com/mp.php?mpid=691
692	Peter	Ainsworth	Con	http://publicwhip.com/mp.php?mpid=692
693	Douglas	Alexander	Lab	http://publicwhip.com/mp.php?mpid=693
694	Richard	Allan	LDem	http://publicwhip.com/mp.php?mpid=694
695	Graham	Allen	Lab	http://publicwhip.com/mp.php?mpid=695
696	David	Amess	Con	http://publicwhip.com/mp.php?mpid=696
697	Michael	Ancram	Con	http://publicwhip.com/mp.php?mpid=697
698	Donald	Anderson	Lab	http://publicwhip.com/mp.php?mpid=698
699	Janet	Anderson	Lab	http://publicwhip.com/mp.php?mpid=699
700	James	Arbuthnot	Con	http://publicwhip.com/mp.php?mpid=700
701	Hilary	Armstrong	Lab	http://publicwhip.com/mp.php?mpid=701
702	Candy	Atherton	Lab	http://publicwhip.com/mp.php?mpid=702
703	Charlotte	Atkins	Lab	http://publicwhip.com/mp.php?mpid=703
704	David	Atkinson	Con	http://publicwhip.com/mp.php?mpid=704
705	Peter	Atkinson	Con	http://publicwhip.com/mp.php?mpid=705
706	John	Austin	Lab	http://publicwhip.com/mp.php?mpid=706
707	Richard	Bacon	Con	http://publicwhip.com/mp.php?mpid=707
708	Adrian	Bailey	Lab	http://publicwhip.com/mp.php?mpid=708
709	Vera	Baird	Lab	http://publicwhip.com/mp.php?mpid=709
