file: votematrix-2010.csv covering commons parliament 2010
file created: Sat Feb  9 11:29:51 2013by http://www.publicwhip.org.uk/
656 mps
701 divisions



Data Values
      missing: -9
      tellaye: 1
      aye: 2
      both: 3
      no: 4
      tellno: 5



Variables match to MP names as mpidXXX where XXX is the mpid number below

mpid	firstname	surname	party	PublicWhip URL
40289	Diane	Abbott	Lab	http://publicwhip.com/mp.php?mpid=40289
40684	Debbie	Abrahams	Lab	http://publicwhip.com/mp.php?mpid=40684
40523	Nigel	Adams	Con	http://publicwhip.com/mp.php?mpid=40523
40661	Adam	Afriyie	Con	http://publicwhip.com/mp.php?mpid=40661
40185	Bob	Ainsworth	Lab	http://publicwhip.com/mp.php?mpid=40185
40638	Peter	Aldous	Con	http://publicwhip.com/mp.php?mpid=40638
40331	Danny	Alexander	LDem	http://publicwhip.com/mp.php?mpid=40331
40474	Douglas	Alexander	Lab	http://publicwhip.com/mp.php?mpid=40474
40363	Heidi	Alexander	Lab	http://publicwhip.com/mp.php?mpid=40363
40075	Rushanara	Ali	Lab	http://publicwhip.com/mp.php?mpid=40075
40461	Graham	Allen	Lab	http://publicwhip.com/mp.php?mpid=40461
40565	David	Amess	Con	http://publicwhip.com/mp.php?mpid=40565
40095	David	Anderson	Lab	http://publicwhip.com/mp.php?mpid=40095
40489	Stuart	Andrew	Con	http://publicwhip.com/mp.php?mpid=40489
40439	James	Arbuthnot	Con	http://publicwhip.com/mp.php?mpid=40439
40686	Jonathan	Ashworth	Lab	http://publicwhip.com/mp.php?mpid=40686
40210	Ian	Austin	Lab	http://publicwhip.com/mp.php?mpid=40210
40549	Richard	Bacon	Con	http://publicwhip.com/mp.php?mpid=40549
40647	Adrian	Bailey	Lab	http://publicwhip.com/mp.php?mpid=40647
40274	William	Bain	Lab	http://publicwhip.com/mp.php?mpid=40274
40362	Norman	Baker	LDem	http://publicwhip.com/mp.php?mpid=40362
40676	Steven	Baker	Con	http://publicwhip.com/mp.php?mpid=40676
40053	Tony	Baldry	Con	http://publicwhip.com/mp.php?mpid=40053
40654	Harriett	Baldwin	Con	http://publicwhip.com/mp.php?mpid=40654
40411	Edward	Balls	Lab	http://publicwhip.com/mp.php?mpid=40411
40464	Gordon	Banks	Lab	http://publicwhip.com/mp.php?mpid=40464
40436	Stephen	Barclay	Con	http://publicwhip.com/mp.php?mpid=40436
40077	Gregory	Barker	Con	http://publicwhip.com/mp.php?mpid=40077
40059	John	Baron	Con	http://publicwhip.com/mp.php?mpid=40059
40508	Kevin	Barron	Lab	http://publicwhip.com/mp.php?mpid=40508
40190	Gavin	Barwell	Con	http://publicwhip.com/mp.php?mpid=40190
40682	Hugh	Bayley	Lab	http://publicwhip.com/mp.php?mpid=40682
40035	Guto	Bebb	Con	http://publicwhip.com/mp.php?mpid=40035
40202	Margaret	Beckett	Lab	http://publicwhip.com/mp.php?mpid=40202
40037	Anne	Begg	Lab	http://publicwhip.com/mp.php?mpid=40037
40073	Alan	Beith	LDem	http://publicwhip.com/mp.php?mpid=40073
40400	Stuart	Bell	Lab	http://publicwhip.com/mp.php?mpid=40400
40454	Henry	Bellingham	Con	http://publicwhip.com/mp.php?mpid=40454
40353	Hilary	Benn	Lab	http://publicwhip.com/mp.php?mpid=40353
40102	Joe	Benton	Lab	http://publicwhip.com/mp.php?mpid=40102
40418	Richard	Benyon	Con	http://publicwhip.com/mp.php?mpid=40418
40406	Paul	Beresford	Con	http://publicwhip.com/mp.php?mpid=40406
40372	Luciana	Berger	Lab	http://publicwhip.com/mp.php?mpid=40372
40507	Jake	Berry	Con	http://publicwhip.com/mp.php?mpid=40507
40526	Clive	Betts	Lab	http://publicwhip.com/mp.php?mpid=40526
40317	Andrew	Bingham	Con	http://publicwhip.com/mp.php?mpid=40317
40457	Brian	Binley	Con	http://publicwhip.com/mp.php?mpid=40457
40132	Gordon	Birtwistle	LDem	http://publicwhip.com/mp.php?mpid=40132
40300	Bob	Blackman	Con	http://publicwhip.com/mp.php?mpid=40300
40174	Roberta	Blackman-Woods	Lab	http://publicwhip.com/mp.php?mpid=40174
40472	Nicola	Blackwood	Con	http://publicwhip.com/mp.php?mpid=40472
40517	Hazel	Blears	Lab	http://publicwhip.com/mp.php?mpid=40517
40401	Tom	Blenkinsop	Lab	http://publicwhip.com/mp.php?mpid=40401
40525	Paul	Blomfield	Lab	http://publicwhip.com/mp.php?mpid=40525
40527	David	Blunkett	Lab	http://publicwhip.com/mp.php?mpid=40527
40496	Crispin	Blunt	Con	http://publicwhip.com/mp.php?mpid=40496
40283	Nicholas	Boles	Con	http://publicwhip.com/mp.php?mpid=40283
40641	Peter	Bone	Con	http://publicwhip.com/mp.php?mpid=40641
40674	Peter	Bottomley	Con	http://publicwhip.com/mp.php?mpid=40674
40574	Karen	Bradley	Con	http://publicwhip.com/mp.php?mpid=40574
40254	Ben	Bradshaw	Lab	http://publicwhip.com/mp.php?mpid=40254
40041	Graham	Brady	Con	http://publicwhip.com/mp.php?mpid=40041
40152	Tom	Brake	LDem	http://publicwhip.com/mp.php?mpid=40152
40219	Angie	Bray	Con	http://publicwhip.com/mp.php?mpid=40219
40144	Julian	Brazier	Con	http://publicwhip.com/mp.php?mpid=40144
40148	Kevin	Brennan	Lab	http://publicwhip.com/mp.php?mpid=40148
40453	Andrew	Bridgen	Con	http://publicwhip.com/mp.php?mpid=40453
40660	Steve	Brine	Con	http://publicwhip.com/mp.php?mpid=40660
40466	James	Brokenshire	Con	http://publicwhip.com/mp.php?mpid=40466
40395	Annette	Brooke	LDem	http://publicwhip.com/mp.php?mpid=40395
40348	Gordon	Brown	Lab	http://publicwhip.com/mp.php?mpid=40348
40650	Lyn	Brown	Lab	http://publicwhip.com/mp.php?mpid=40650
40420	Nick	Brown	Lab	http://publicwhip.com/mp.php?mpid=40420
40213	Russell	Brown	Lab	http://publicwhip.com/mp.php?mpid=40213
40600	Jeremy	Browne	LDem	http://publicwhip.com/mp.php?mpid=40600
40182	Fiona	Bruce	Con	http://publicwhip.com/mp.php?mpid=40182
40280	Malcolm	Bruce	LDem	http://publicwhip.com/mp.php?mpid=40280
40497	Chris	Bryant	Lab	http://publicwhip.com/mp.php?mpid=40497
40655	Karen	Buck	Lab	http://publicwhip.com/mp.php?mpid=40655
40555	Robert	Buckland	Con	http://publicwhip.com/mp.php?mpid=40555
40085	Richard	Burden	Lab	http://publicwhip.com/mp.php?mpid=40085
40143	Aidan	Burley	Con	http://publicwhip.com/mp.php?mpid=40143
40361	Andy	Burnham	Lab	http://publicwhip.com/mp.php?mpid=40361
40106	Conor	Burns	Con	http://publicwhip.com/mp.php?mpid=40106
40161	Simon	Burns	Con	http://publicwhip.com/mp.php?mpid=40161
40248	David	Burrowes	Con	http://publicwhip.com/mp.php?mpid=40248
40594	Paul	Burstow	LDem	http://publicwhip.com/mp.php?mpid=40594
40435	Alistair	Burt	Con	http://publicwhip.com/mp.php?mpid=40435
40537	Lorely	Burt	LDem	http://publicwhip.com/mp.php?mpid=40537
40449	Dan	Byles	Con	http://publicwhip.com/mp.php?mpid=40449
40083	Liam	Byrne	Lab	http://publicwhip.com/mp.php?mpid=40083
40618	Vincent	Cable	LDem	http://publicwhip.com/mp.php?mpid=40618
40623	Alun	Cairns	Con	http://publicwhip.com/mp.php?mpid=40623
40330	David	Cairns	Lab	http://publicwhip.com/mp.php?mpid=40330
40665	David	Cameron	Con	http://publicwhip.com/mp.php?mpid=40665
40619	Alan	Campbell	Lab	http://publicwhip.com/mp.php?mpid=40619
40229	Gregory	Campbell	DUP	http://publicwhip.com/mp.php?mpid=40229
40438	Menzies	Campbell	LDem	http://publicwhip.com/mp.php?mpid=40438
40096	Ronnie	Campbell	Lab	http://publicwhip.com/mp.php?mpid=40096
40469	Alistair	Carmichael	LDem	http://publicwhip.com/mp.php?mpid=40469
40590	Neil	Carmichael	Con	http://publicwhip.com/mp.php?mpid=40590
40175	Douglas	Carswell	Con	http://publicwhip.com/mp.php?mpid=40175
40584	William	Cash	Con	http://publicwhip.com/mp.php?mpid=40584
40282	Martin	Caton	Lab	http://publicwhip.com/mp.php?mpid=40282
40694	Sarah	Champion	Lab	http://publicwhip.com/mp.php?mpid=40694
40196	Jenny	Chapman	Lab	http://publicwhip.com/mp.php?mpid=40196
40270	Rehman	Chishti	Con	http://publicwhip.com/mp.php?mpid=40270
40171	Christopher	Chope	Con	http://publicwhip.com/mp.php?mpid=40171
40314	James	Clappison	Con	http://publicwhip.com/mp.php?mpid=40314
40617	Greg	Clark	Con	http://publicwhip.com/mp.php?mpid=40617
40429	Katy	Clark	Lab	http://publicwhip.com/mp.php?mpid=40429
40513	Kenneth	Clarke	Con	http://publicwhip.com/mp.php?mpid=40513
40179	Tom	Clarke	Lab	http://publicwhip.com/mp.php?mpid=40179
40528	Nicholas	Clegg	LDem	http://publicwhip.com/mp.php?mpid=40528
40603	Geoffrey	Clifton-Brown	Con	http://publicwhip.com/mp.php?mpid=40603
40194	Ann	Clwyd	Lab	http://publicwhip.com/mp.php?mpid=40194
40269	Vernon	Coaker	Lab	http://publicwhip.com/mp.php?mpid=40269
40578	Ann	Coffey	Lab	http://publicwhip.com/mp.php?mpid=40578
40591	Therese	Coffey	Con	http://publicwhip.com/mp.php?mpid=40591
40262	Damian	Collins	Con	http://publicwhip.com/mp.php?mpid=40262
40481	Oliver	Colvile	Con	http://publicwhip.com/mp.php?mpid=40481
40369	Michael	Connarty	Lab	http://publicwhip.com/mp.php?mpid=40369
40651	Rosie	Cooper	Lab	http://publicwhip.com/mp.php?mpid=40651
40427	Yvette	Cooper	Lab	http://publicwhip.com/mp.php?mpid=40427
40334	Jeremy	Corbyn	Lab	http://publicwhip.com/mp.php?mpid=40334
40613	Geoffrey	Cox	Con	http://publicwhip.com/mp.php?mpid=40613
40487	Stephen	Crabb	Con	http://publicwhip.com/mp.php?mpid=40487
